"temperature
(°C degrees)","pressure
(hpa)","humidity
(%)","wind_speed
(km/h)","wind_direction
(degrees from North)",solarradiation (W/m2),uv index,"rainfall
(mm)","total_rainfall
(mm)"
32.9,1000.3,63,0.31293000000000004,136,99.34,1,0.0,688.086,25-06-2019,16:00
32.1,1000.7,66,0.49173999999999995,165,71.93,0,0.0,688.086,25-06-2019,17:00
30.6,1000.7,81,1.1176,141,23.36,0,0.0,688.086,25-06-2019,18:00
29.8,1001.7,86,2.2799099999999997,177,0.0,0,0.0,688.086,25-06-2019,19:01
29.8,1002.4,86,1.1176,193,0.0,0,0.0,688.086,25-06-2019,20:00
29.5,1003.4,85,2.4140200000000003,139,0.0,0,0.0,688.086,25-06-2019,21:00
29.8,1004.1,74,2.81636,175,0.0,0,0.0,688.086,25-06-2019,22:00
28.3,1004.4,82,1.51994,230,0.0,0,0.0,688.086,25-06-2019,23:01
26.8,1003.0,81,0.98349,203,0.0,0,0.0,688.086,26-06-2019,00:01
26.5,1002.4,85,0.49173999999999995,196,0.0,0,0.0,688.086,26-06-2019,01:00
26.4,1002.0,88,0.0,176,0.0,0,0.0,688.086,26-06-2019,02:00
26.9,1001.7,88,2.01168,212,0.0,0,0.0,688.086,26-06-2019,03:00
27.2,1002.0,86,1.92228,216,0.0,0,0.0,688.086,26-06-2019,04:00
27.0,1002.0,87,0.58115,197,0.0,0,0.0,688.086,26-06-2019,05:00
27.0,1003.0,86,1.6987599999999998,173,2.08,0,0.0,688.086,26-06-2019,06:00
27.5,1004.1,85,1.1176,201,57.25,0,0.0,688.086,26-06-2019,07:00
29.2,1004.1,77,1.38583,218,144.85,1,0.0,688.086,26-06-2019,08:00
29.8,1004.1,76,1.7881599999999997,233,182.53,1,0.0,688.086,26-06-2019,09:00
30.9,1004.1,70,0.98349,228,305.35,2,0.0,688.086,26-06-2019,10:02
32.9,1003.4,60,1.92228,235,851.09,8,0.0,688.086,26-06-2019,11:00
33.8,1002.4,55,3.79985,156,602.01,5,0.0,688.086,26-06-2019,12:00
33.5,1002.4,57,2.5928400000000003,230,347.43,3,0.0,688.086,26-06-2019,13:00
33.6,1002.0,58,2.1905,178,283.69,2,0.0,688.086,26-06-2019,14:00
33.5,1001.0,57,1.92228,208,189.98,1,0.0,688.086,26-06-2019,15:00
33.2,1001.0,61,1.6987599999999998,189,170.41,1,0.0,688.086,26-06-2019,16:00
31.2,1000.7,73,2.4140200000000003,111,147.9,1,0.0,688.086,26-06-2019,17:00
30.5,1001.4,80,1.1176,129,25.07,0,0.0,688.086,26-06-2019,18:00
29.8,1001.7,84,2.5928400000000003,198,0.0,0,0.0,688.086,26-06-2019,19:00
29.6,1002.7,88,0.80467,264,0.0,0,0.0,688.086,26-06-2019,20:00
27.6,1004.1,85,1.38583,30,0.0,0,0.0,688.086,26-06-2019,21:00
27.9,1004.4,85,0.0,175,0.0,0,0.0,688.086,26-06-2019,22:00
26.8,1004.1,95,0.0,179,0.0,0,0.0,688.5939999999999,26-06-2019,23:00
26.6,1003.7,97,0.0,151,0.0,0,0.0,688.5939999999999,27-06-2019,00:00
26.2,1002.7,98,0.31293000000000004,210,0.0,0,0.0,688.5939999999999,27-06-2019,01:01
25.9,1002.4,97,0.40234000000000003,341,0.0,0,0.0,688.5939999999999,27-06-2019,02:00
25.9,1002.0,97,0.0,199,0.0,0,0.0,688.5939999999999,27-06-2019,03:00
25.9,1001.7,97,0.0,233,0.0,0,0.0,688.5939999999999,27-06-2019,04:00
25.8,1001.7,96,0.8940799999999999,216,0.0,0,0.0,688.5939999999999,27-06-2019,05:00
26.0,1002.4,96,0.0,203,2.08,0,0.0,688.5939999999999,27-06-2019,06:00
26.4,1002.7,94,0.0,182,55.9,0,0.0,688.5939999999999,27-06-2019,07:00
27.4,1003.4,90,0.0,208,153.04,1,0.0,688.5939999999999,27-06-2019,08:00
30.1,1003.7,79,2.68225,193,460.59,4,0.0,688.5939999999999,27-06-2019,09:00
