Date and Time,TA in,TA out,RH in,RH out,intensity_in,Intensity_out,TWl-1 in,TWl-1 out,TWl-2 in,TWl-2 out,TRf in,TRf out,TG in,TG out,TW in,TW out,V in,iDampA,iDampW,Clo ,Wl-1Facing,Wl-2Facing
06/17/19 12:00:00 AM,33.548,32.484,63.214,69.044,11.8,,,,,,,,,,,,,,,,,
06/17/19 01:00:00 AM,33.443,31.97,63.698,70.812,11.8,,,,,,,,,,,,,,,,,
06/17/19 02:00:00 AM,33.287,32.124,64.016,67.415,11.8,,,,,,,,,,,,,,,,,
06/17/19 03:00:00 AM,33.079,31.765,64.013,68.641,11.8,,,,,,,,,,,,,,,,,
06/17/19 04:00:00 AM,32.975,31.51,64.059,68.627,11.8,,,,,,,,,,,,,,,,,
06/17/19 05:00:00 AM,32.872,31.306,64.011,68.407,11.8,,,,,,,,,,,,,,,,,
06/17/19 06:00:00 AM,32.717,31.281,63.736,65.206,11.8,,,,,,,,,,,,,,,,,
06/17/19 07:00:00 AM,32.51,31.128,63.14,61.794,11.8,,,,,,,,,,,,,,,,,
06/17/19 08:00:00 AM,32.407,31.689,62.436,56.963,11.8,,,,,,,,,,,,,,,,,
06/17/19 09:00:00 AM,32.691,32.975,62.042,48,11.8,,,,,,,,,,,,,,,,,
06/17/19 10:00:00 AM,32.846,34.097,61.124,44.337,11.8,,,,,,,,,,,,,,,,,
06/17/19 11:00:00 AM,33.001,35.342,60.455,40.455,11.8,,,,,,,,,,,,,,,,,
06/17/19 12:00:00 PM,32.898,36.065,59.079,38.192,11.8,,,,,,,,,,,,,,,,,
06/17/19 01:00:00 PM,32.587,37.343,57.572,34.686,11.8,,,,,,,,,,,,,,,,,
06/17/19 02:00:00 PM,32.175,38.004,55.855,32.982,11.8,,,,,,,,,,,,,,,,,
06/17/19 03:00:00 PM,31.765,38.616,53.972,30.493,11.8,,,,,,,,,,,,,,,,,
06/17/19 04:00:00 PM,32.33,38.337,53.214,39.545,11.8,,,,,,,,,,,,,,,,,
06/17/19 05:00:00 PM,33.94,36.905,53.046,52.142,11.8,,,,,,,,,,,,,,,,,
06/17/19 06:00:00 PM,33.887,36.2,52.715,51.754,11.8,,,,,,,,,,,,,,,,,
06/17/19 07:00:00 PM,34.36,35.049,53.071,63.551,11.8,,,,,,,,,,,,,,,,,
06/17/19 08:00:00 PM,34.545,35.208,53.744,63.451,11.8,,,,,,,,,,,,,,,,,
06/17/19 09:00:00 PM,34.73,34.942,55.224,64.851,11.8,,,,,,,,,,,,,,,,,
06/17/19 10:00:00 PM,34.783,34.097,56.358,68.991,11.8,,,,,,,,,,,,,,,,,
06/17/19 11:00:00 PM,34.545,33.626,57.158,69.829,11.8,,,,,,,,,,,,,,,,,
06/18/19 12:00:00 AM,34.308,33.365,57.667,65.307,11.8,,,,,,,,,,,,,,,,,
06/18/19 01:00:00 AM,34.071,32.717,58.238,67.055,11.8,,,,,,,,,,,,,,,,,
06/18/19 02:00:00 AM,33.835,32.484,58.713,67.17,11.8,,,,,,,,,,,,,,,,,
06/18/19 03:00:00 AM,33.652,32.124,59.162,68.367,11.8,,,,,,,,,,,,,,,,,
06/18/19 04:00:00 AM,33.495,31.842,59.519,69.754,11.8,,,,,,,,,,,,,,,,,
06/18/19 05:00:00 AM,33.365,31.484,59.879,69.416,11.8,,,,,,,,,,,,,,,,,
06/18/19 06:00:00 AM,33.209,31.331,60.108,65.708,11.8,,,,,,,,,,,,,,,,,
06/18/19 07:00:00 AM,33.079,31.077,60.214,67.265,11.8,,,,,,,,,,,,,,,,,
06/18/19 08:00:00 AM,33.027,31.74,60.206,62.391,11.8,,,,,,,,,,,,,,,,,
06/18/19 09:00:00 AM,33.001,32.587,60.297,57.986,11.8,,,,,,,,,,,,,,,,,
06/18/19 10:00:00 AM,33.783,33.704,60.355,52.042,11.8,,,,,,,,,,,,,,,,,
06/18/19 11:00:00 AM,34.916,35.395,56.891,45.318,11.8,,,,,,,,,,,,,,,,,
06/18/19 12:00:00 PM,33.235,35.823,53.209,42.324,11.8,,,,,,,,,,,,,,,,,
06/18/19 01:00:00 PM,32.536,36.281,51.626,42.442,11.8,,,,,,,,,,,,,,,,,
06/18/19 02:00:00 PM,31.919,36.525,50.443,38.986,11.8,,,,,,,,,,,,,,,,,
06/18/19 03:00:00 PM,31.842,36.878,50.011,39.26,11.8,,,,,,,,,,,,,,,,,
06/18/19 04:00:00 PM,31.816,37.508,49.454,43.654,11.8,,,,,,,,,,,,,,,,,
06/18/19 05:00:00 PM,31.791,35.797,48.865,56.278,11.8,,,,,,,,,,,,,,,,,
06/18/19 06:00:00 PM,32.898,34.783,50.212,64.825,11.8,,,,,,,,,,,,,,,,,
06/18/19 07:00:00 PM,34.124,34.492,62.679,63.116,27.6,,34.81,,,,,,,,,,,,,,,
06/18/19 08:00:00 PM,34.624,33.574,64.141,68.129,11.8,,34.783,,,,,,,,,,,,,,,
06/18/19 09:00:00 PM,34.624,33.548,65.174,69.355,11.8,,34.757,,,,,,,,,,,,,,,
06/18/19 10:00:00 PM,34.466,33.548,65.366,67.322,11.8,,34.651,,,,,,,,,,,,,,,
06/18/19 11:00:00 PM,34.413,33.157,62.757,64.026,11.8,,34.545,,,,,,,,,,,,,,,
06/19/19 12:00:00 AM,34.387,32.872,59.686,62.04,11.8,,34.466,,,,,,,,,,,,,,,
06/19/19 01:00:00 AM,34.229,32.407,60.582,65.488,11.8,,34.334,,,,,,,,,,,,,,,
06/19/19 02:00:00 AM,34.097,32.253,60.498,64.531,11.8,,34.202,,,,,,,,,,,,,,,
06/19/19 03:00:00 AM,33.914,31.842,59.106,62.376,11.8,,34.045,,,,,,,,,,,,,,,
06/19/19 04:00:00 AM,33.704,31.408,57.45,60.522,11.8,,33.861,,,,,,,,,,,,,,,
06/19/19 05:00:00 AM,33.548,30.925,57.044,62.51,11.8,,33.678,,,,,,,,,,,,,,,
06/19/19 06:00:00 AM,33.001,30.571,57.888,63.354,82.8,,33.495,,,,,,,,,,,,,,,
06/19/19 07:00:00 AM,32.665,30.748,57.934,61.546,19.7,,33.131,,,,,,,,,,,,,,,
06/19/19 08:00:00 AM,32.742,31.612,55.424,56.093,35.5,,32.949,,,,,,,,,,,,,,,
06/19/19 09:00:00 AM,33.027,32.768,52.857,51.138,43.4,,32.924,,,,,,,,,,,,,,,
06/19/19 10:00:00 AM,33.339,34.097,52.025,47.151,122.2,,33.131,,,,,,,,,,,,,,,
06/19/19 11:00:00 AM,33.835,35.662,49.582,42.777,67,,33.443,,,,,,,,,,,,,,,
06/19/19 12:00:00 PM,33.757,36.092,49.146,40.838,51.2,,33.521,,,,,,,,,,,,,,,
06/19/19 01:00:00 PM,33.992,36.606,49.798,47.721,43.4,,33.73,,,,,,,,,,,,,,,
